restaurant_id,name,price,city,region,timing,rating_type,rating,votes,url
606,The Barn Grill,600.0,Mumbai,Marol,12noon to 11pm(Mon-Sun),Very Good,4.1,146.0,https://www.zomato.com/mumbai/the-barn-grill-marol/info
607,Queen's Kitchen & Mocktails,1000.0,Mumbai,Mulund West,"1130am to 3pm,7pm to 1130pm(Mon,Tue,Wed...",Very Good,4.3,487.0,https://www.zomato.com/mumbai/queens-kitchen-mocktails-mulund-west/info
608,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
609,The Diet Box,400.0,Mumbai,Virar,9am to 8pm(Mon-Sun),Good,3.6,44.0,https://www.zomato.com/mumbai/the-diet-box-1-virar/info
610,Smoking Pizza,600.0,Mumbai,Kopar Khairane,11am to 1130pm(Mon-Sun),Good,3.8,405.0,https://www.zomato.com/mumbai/smoking-pizza-kopar-khairane-navi-mumbai/info
611,Mangalam,450.0,Mumbai,Borivali West,11am to 11pm(Mon-Sun),Good,3.7,83.0,https://www.zomato.com/mumbai/mangalam-borivali-west/info
612,Khavayye,450.0,Mumbai,Majiwada-- Thane West,9am to 11pm(Mon-Sun),Good,3.6,52.0,https://www.zomato.com/mumbai/khavayye-majiwada-thane-west-thane/info
613,Fountain Sizzlers,1700.0,Mumbai,Fort,12noon to 1130pm(Mon-Sun),Very Good,4.1,918.0,https://www.zomato.com/mumbai/fountain-sizzlers-fort/info
614,Hongkong Pizzaria,900.0,Mumbai,Kandivali West,"9am to 1130pm(Mon-Thu),9am to 12midnight(Fri-Sun)",Good,3.5,42.0,https://www.zomato.com/mumbai/hongkong-pizzaria-1-kandivali-west/info
615,The Body Chef,700.0,Mumbai,Jogeshwari,9am to 11pm(Mon-Sun),,,,https://www.zomato.com/mumbai/the-body-chef-jogeshwari/info
616,Farm View,900.0,Mumbai,Virar,11am to 1130pm(Mon-Sun),Very Good,4.0,307.0,https://www.zomato.com/mumbai/farm-view-virar/info
617,Quizzr Cafe & Diner,1000.0,Mumbai,R City Mall-- Ghatkopar West,12noon to 12midnight(Mon-Sun),Good,3.8,200.0,https://www.zomato.com/mumbai/quizzr-cafe-diner-ghatkopar-west/info
618,Bikanervala,400.0,Mumbai,Borivali West,"11am to 12midnight(Mon-Sat),8am to 12midnight(Sun)",Good,3.5,105.0,https://www.zomato.com/mumbai/bikanervala-borivali-west/info
619,Jab We Met,300.0,Mumbai,Panch Pakhadi-- Thane West,1130am to 11pm(Mon-Sun),,,,https://www.zomato.com/mumbai/jab-we-met-panch-pakhadi-thane-west-thane/info
620,Shahi,600.0,Mumbai,Mira Road,"11am to 4pm,730pm to 12midnight(Mon-Sun)",Good,3.7,481.0,https://www.zomato.com/mumbai/shahi-mira-road/info
621,Justice Cafe and Dine,800.0,Mumbai,Ghodbunder Road,1030am to 1130pm(Mon-Sun),Excellent,4.5,515.0,https://www.zomato.com/mumbai/justice-cafe-and-dine-ghodbunder-road/info
622,Sapre & Sons,200.0,Mumbai,Goregaon West,830am to 930pm(Mon-Sun),Good,3.9,279.0,https://www.zomato.com/mumbai/sapre-sons-goregaon-west/info
623,Hazuka Restaurant,1000.0,Mumbai,Fort,"1130am to 12midnight(Mon-Fri),1130am to 1230AM...",Good,3.9,260.0,https://www.zomato.com/mumbai/hazuka-restaurant-fort/info
624,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
625,TNBT : The Next Big Thing,850.0,Mumbai,Chowpatty,1145am to 11pm(Mon-Sun),Good,3.8,1497.0,https://www.zomato.com/mumbai/tnbt-the-next-big-thing-chowpatty/info
626,Chopstix,600.0,Mumbai,Naupada-- Thane West,12noon to 12midnight(Mon-Sun),Good,3.9,224.0,https://www.zomato.com/mumbai/chopstix-naupada-thane-west/info
627,Hotel Sagar,500.0,Mumbai,Chakala,8am to 12midnight(Mon-Sun),Excellent,4.7,40.0,https://www.zomato.com/mumbai/hotel-sagar-chakala/info
628,Balaji Pure Veg,700.0,Mumbai,The Hub Mall-- Goregaon East,930am to 1130pm(Mon-Sun),Good,3.5,483.0,https://www.zomato.com/mumbai/balaji-pure-veg-goregaon-east/info
